time,vehicle_count
14:36:19,1
14:36:19,2
14:36:19,3
14:36:20,4
14:36:24,5
14:36:25,6
14:36:26,7
14:36:27,8
14:36:28,9
14:36:30,10
14:36:31,11
14:36:33,12
14:36:33,13
14:36:35,14
14:36:36,15
14:36:37,16
14:36:38,17
14:36:38,18
14:36:38,19
14:36:41,20
14:36:41,21
14:36:42,22
14:36:42,23
14:36:43,24
14:36:45,25
14:36:45,26
14:36:48,27
14:36:50,28
14:36:50,29
14:36:50,30
14:36:53,31
14:36:54,32
14:36:55,33
14:36:55,34
14:36:56,35
14:36:56,36
14:37:01,37
14:37:02,38
14:37:02,39
14:37:03,40
14:37:03,41
14:37:07,42
14:37:08,43
14:37:09,44
14:37:11,45
14:37:12,46
14:37:13,47
14:37:16,48
14:37:18,49
14:37:19,50
14:37:20,51
14:37:21,52
14:37:21,53
14:37:22,54
14:37:22,55
14:37:24,56
14:37:24,57
14:37:25,58
14:37:26,59
14:37:26,60
14:37:28,61
14:37:29,62
14:37:30,63
14:37:30,64
14:37:30,65
14:37:31,66
14:37:33,67
14:37:39,68
14:37:39,69
14:37:40,70
14:37:40,71
